"ALL TISSUES, SINGLE FREQUENCY","FREQUENCY = ",100,"Hz"
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
Air               ,   1.0000e+2,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+6,"N/A",
Aorta             ,   1.0000e+2,   2.7789e-1,   5.0921e+6,   9.8098e+0,   5.7011e+2,   1.0046e+2,
Bladder           ,   1.0000e+2,   2.0558e-1,   1.9284e+5,   1.9164e+2,   6.9561e+2,   1.1129e+2,
Blood             ,   1.0000e+2,   7.0000e-1,   5.2598e+3,   2.3923e+4,   3.7795e+2,   6.0156e+1,
BloodVessel       ,   1.0000e+2,   2.7789e-1,   5.0921e+6,   9.8098e+0,   5.7011e+2,   1.0046e+2,
BodyFluid         ,   1.0000e+2,   1.5000e+0,   9.8999e+1,   2.7236e+6,   2.5820e+2,   4.1093e+1,
BoneCancellous    ,   1.0000e+2,   8.1031e-2,   2.1703e+5,   6.7113e+1,   1.1026e+3,   1.7812e+2,
BoneCortical      ,   1.0000e+2,   2.0059e-2,   5.8528e+3,   6.1606e+2,   2.2310e+3,   3.5564e+2,
BoneMarrow        ,   1.0000e+2,   1.8230e-3,   6.9898e+4,   4.6881e+0,   6.6624e+3,   1.3104e+3,
BrainGreyMatter   ,   1.0000e+2,   8.9018e-2,   3.9061e+6,   4.0965e+0,   9.3921e+2,   1.9036e+2,
BrainWhiteMatter  ,   1.0000e+2,   5.8093e-2,   1.6677e+6,   6.2616e+0,   1.2117e+3,   2.2609e+2,
BreastFat         ,   1.0000e+2,   2.3239e-2,   3.2761e+5,   1.2751e+1,   1.9947e+3,   3.4334e+2,
Cartilage         ,   1.0000e+2,   1.7215e-1,   4.9046e+5,   6.3092e+1,   7.5614e+2,   1.2227e+2,
Cerebellum        ,   1.0000e+2,   1.0902e-1,   3.9064e+6,   5.0165e+0,   8.6744e+2,   1.6829e+2,
CerebroSpinalFluid,   1.0000e+2,   2.0000e+0,   1.0900e+2,   3.2983e+6,   2.2360e+2,   3.5588e+1,
Cervix            ,   1.0000e+2,   4.1134e-1,   2.0139e+7,   3.6716e+0,   4.3098e+2,   8.9773e+1,
Colon             ,   1.0000e+2,   1.2134e-1,   2.0091e+7,   1.0856e+0,   6.0112e+2,   2.1820e+2,
Cornea            ,   1.0000e+2,   4.2205e-1,   4.9929e+5,   1.5195e+2,   4.8516e+2,   7.7726e+1,
Duodenum          ,   1.0000e+2,   5.2211e-1,   4.9153e+5,   1.9094e+2,   4.3649e+2,   6.9835e+1,
Dura              ,   1.0000e+2,   5.0056e-1,   1.9486e+4,   4.6176e+3,   4.4691e+2,   7.1143e+1,
EyeSclera         ,   1.0000e+2,   5.0283e-1,   1.4696e+5,   6.1502e+2,   4.4559e+2,   7.1033e+1,
Fat               ,   1.0000e+2,   2.0810e-2,   4.5706e+5,   8.1844e+0,   2.0625e+3,   3.7080e+2,
GallBladder       ,   1.0000e+2,   9.0001e-1,   1.1320e+3,   1.4291e+5,   3.3333e+2,   5.3051e+1,
GallBladderBile   ,   1.0000e+2,   1.4000e+0,   1.2000e+2,   2.0971e+6,   2.6726e+2,   4.2536e+1,
Gland             ,   1.0000e+2,   5.2211e-1,   4.9203e+5,   1.9074e+2,   4.3649e+2,   6.9835e+1,
Heart             ,   1.0000e+2,   9.3565e-2,   3.1637e+6,   5.3162e+0,   9.4152e+2,   1.8066e+2,
Kidney            ,   1.0000e+2,   1.0216e-1,   3.5181e+6,   5.2198e+0,   8.9951e+2,   1.7319e+2,
Lens              ,   1.0000e+2,   3.2216e-1,   5.9087e+5,   9.8008e+1,   5.5430e+2,   8.9124e+1,
Liver             ,   1.0000e+2,   3.8130e-2,   6.7847e+5,   1.0102e+1,   1.5413e+3,   2.7080e+2,
LungDeflated      ,   1.0000e+2,   2.0588e-1,   5.6708e+5,   6.5261e+1,   6.9161e+2,   1.1177e+2,
LungInflated      ,   1.0000e+2,   7.2979e-2,   1.7724e+6,   7.4014e+0,   1.0943e+3,   1.9928e+2,
Lymph             ,   1.0000e+2,   5.2211e-1,   4.9203e+5,   1.9074e+2,   4.3649e+2,   6.9835e+1,
MucousMembrane    ,   1.0000e+2,   4.6112e-4,   4.5298e+4,   1.8298e+0,   1.1341e+4,   3.0433e+3,
Muscle            ,   1.0000e+2,   2.6671e-1,   9.3290e+6,   5.1390e+0,   5.5589e+2,   1.0735e+2,
Nail              ,   1.0000e+2,   2.0059e-2,   5.8528e+3,   6.1606e+2,   2.2310e+3,   3.5564e+2,
Nerve             ,   1.0000e+2,   2.8042e-2,   4.6602e+5,   1.0817e+1,   1.8032e+3,   3.1474e+2,
Oesophagus        ,   1.0000e+2,   5.2211e-1,   4.9153e+5,   1.9094e+2,   4.3649e+2,   6.9835e+1,
Ovary             ,   1.0000e+2,   3.2211e-1,   4.8714e+5,   1.1886e+2,   5.5484e+2,   8.9051e+1,
Pancreas          ,   1.0000e+2,   5.2211e-1,   4.9203e+5,   1.9074e+2,   4.3649e+2,   6.9835e+1,
Prostate          ,   1.0000e+2,   4.2211e-1,   4.9453e+5,   1.5343e+2,   4.8514e+2,   7.7718e+1,
Retina            ,   1.0000e+2,   5.0283e-1,   1.4696e+5,   6.1502e+2,   4.4559e+2,   7.1033e+1,
SkinDry           ,   1.0000e+2,   2.0000e-4,   1.1359e+3,   3.1649e+1,   2.2010e+4,   3.6154e+3,
SkinWet           ,   1.0000e+2,   4.6112e-4,   4.5298e+4,   1.8298e+0,   1.1341e+4,   3.0433e+3,
SmallIntestine    ,   1.0000e+2,   5.2241e-1,   8.7313e+5,   1.0755e+2,   4.3548e+2,   6.9957e+1,
SpinalCord        ,   1.0000e+2,   2.8042e-2,   4.6602e+5,   1.0817e+1,   1.8032e+3,   3.1474e+2,
Spleen            ,   1.0000e+2,   9.5662e-2,   3.1174e+6,   5.5160e+0,   9.3427e+2,   1.7807e+2,
Stomach           ,   1.0000e+2,   5.2211e-1,   4.9153e+5,   1.9094e+2,   4.3649e+2,   6.9835e+1,
Tendon            ,   1.0000e+2,   3.0479e-1,   1.1857e+7,   4.6206e+0,   5.1447e+2,   1.0150e+2,
Testis            ,   1.0000e+2,   4.2211e-1,   4.9453e+5,   1.5343e+2,   4.8514e+2,   7.7718e+1,
Thymus            ,   1.0000e+2,   5.2211e-1,   4.9203e+5,   1.9074e+2,   4.3649e+2,   6.9835e+1,
Thyroid           ,   1.0000e+2,   5.2211e-1,   4.9203e+5,   1.9074e+2,   4.3649e+2,   6.9835e+1,
Tongue            ,   1.0000e+2,   2.7211e-1,   4.9352e+5,   9.9110e+1,   6.0316e+2,   9.6970e+1,
Tooth             ,   1.0000e+2,   2.0059e-2,   5.8528e+3,   6.1606e+2,   2.2310e+3,   3.5564e+2,
Trachea           ,   1.0000e+2,   3.0056e-1,   5.9929e+4,   9.0151e+2,   5.7649e+2,   9.1853e+1,
Uterus            ,   1.0000e+2,   2.9009e-1,   2.4512e+7,   2.1273e+0,   4.6782e+2,   1.1727e+2,
Vacuum            ,   1.0000e+2,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+6,"N/A",
VitreousHumor     ,   1.0000e+2,   1.5000e+0,   9.8999e+1,   2.7236e+6,   2.5820e+2,   4.1093e+1,
